One Node
 3.86958122253418e-02 seconds
3.87358665466309e-02 seconds
 3.87268066406250e-02 seconds
 
Two Nodes
1.96099281311035e-02 seconds
 1.96480751037598e-02 seconds
1.95682048797607e-02 seconds

Four Nodes
 9.72819328308105e-03 seconds
9.52291488647461e-03 seconds
 9.86313819885254e-03 seconds
